key1,type1,key2,type2,relation_name
70115342511,1,83522809424,1,2018-01-24
11235789879,1,64304073894,1,2022-07-03
29284020749,1,69739471451,1,2015-06-07
67547518568,1,56706020712,1,2020-07-24
89284887352,1,17985434476,1,2021-01-21
93286775963,1,53065031222,1,2016-09-25
80005790914,1,40446899301,1,2019-09-14
04989496842,1,57025711961,1,2020-04-14
39466165740,1,31922916361,1,2016-12-06
94792716849,1,54962146552,1,2016-06-09
41347579846,1,81180754057,1,2018-10-06
49279201821,1,64554964648,1,2020-03-10
93716485460,1,39406453055,1,2022-04-19
46878477606,1,65727899609,1,2020-10-28
15618260207,1,80142942153,1,2022-07-31
18493870940,1,90655483496,1,2015-11-02
81722475168,1,04696254255,1,2018-03-21
39406453055,1,70807229412,1,2019-11-22
14871165707,1,22989093679,1,2018-08-05
94792716849,1,19169475580,1,2020-09-18
27451165806,1,47453823176,1,2016-02-19
29464797589,1,63229452278,1,2020-05-15
94032908610,1,81722475168,1,2015-11-13
03098677422,1,34802117553,1,2016-11-25
42822224267,1,11862358637,1,2016-04-19
19802461223,1,75089934568,1,2016-11-16
18012263977,1,09605976825,1,2019-10-01
40321832051,1,23964879917,1,2015-06-22
82246942155,1,35960609716,1,2017-09-18
19054735812,1,13255606863,1,2020-11-14
70063113338,1,40446899301,1,2017-12-13
83522809424,1,19237188472,1,2015-07-15
06921571827,1,32134674316,1,2020-11-11
64927243271,1,59631668358,1,2015-06-12
97592279372,1,98355516892,1,2017-04-01
68997182878,1,64359498278,1,2020-03-10
55010190330,1,84518026238,1,2018-05-21
09832748401,1,14422219081,1,2017-01-31
19821104738,1,50618784830,1,2015-01-20
33059817531,1,31033608114,1,2018-02-02
04696254255,1,90194708645,1,2017-03-28
26303427948,1,83522809424,1,2016-09-05
57784632933,1,83843103841,1,2021-04-30
42632573397,1,53149415425,1,2015-06-07
68307298782,1,54962146552,1,2017-12-09
20510103443,1,31033608114,1,2021-05-27
84345917000,1,93286775963,1,2015-04-24
50618784830,1,25143716542,1,2019-10-17
70807229412,1,54806091737,1,2022-08-13
50618784830,1,64359498278,1,2017-12-28
48576203623,1,57025711961,1,2021-03-04
68253497503,1,64927243271,1,2015-10-10
52751137553,1,19802461223,1,2016-10-11
57416144076,1,89236213446,1,2020-10-01
57735688194,1,22586593172,1,2017-05-23
46513474271,1,64554964648,1,2018-04-26
67547518568,1,95725372987,1,2021-04-15
56706020712,1,75997171828,1,2015-02-15
74763990618,1,60788258366,1,2020-10-02
64554964648,1,18012263977,1,2021-03-01
58722202265,1,14404537900,1,2022-01-07
44919644227,1,26742448832,1,2019-08-02
96602117969,1,14404537900,1,2017-11-05
23341321280,1,98355516892,1,2018-01-27
58559777954,1,67547518568,1,2018-02-24
31922916361,1,91253348018,1,2019-02-07
65392217901,1,81133388615,1,2020-08-25
71144920444,1,08526086491,1,2022-04-21
65811306315,1,19419890564,1,2016-02-23
13792889905,1,60788258366,1,2018-11-15
19237188472,1,41347579846,1,2022-01-12
20510103443,1,48656156812,1,2016-11-16
23207180978,1,60788258366,1,2021-08-06
58246011681,1,84345917000,1,2017-10-17
22989093679,1,11862358637,1,2017-05-30
60788258366,1,35065526401,1,2015-05-26
47453823176,1,71692399407,1,2016-10-01
18338945257,1,09832748401,1,2022-02-09
61845201132,1,19169475580,1,2018-07-28
89236213446,1,68307298782,1,2015-09-05
09939346508,1,08526086491,1,2018-08-05
29464797589,1,81133388615,1,2015-12-20
50427694759,1,46114995925,1,2016-11-02
56923362928,1,58023579547,1,2020-08-04
